run_id,prompt_id,displaced_families,p_implement_from_implement_question,p_implement_from_reject_question,p_implement_arithmetic_mean,absolute_polarity_gap,semantic_logit_implement_question,semantic_logit_reject_question,semantic_logit_mean,p_implement_logodds_sym,polarity_effect_logit_reject_minus_implement
20260824T101832Z,stage_1_wetland_relocation,0,0.9459331995418939,0.9548458909432218,0.9503895452425579,0.008912691401327888,2.8619516253921695,3.051468671987581,2.9567101486898753,0.9505796723126352,0.18951704659541146
20260824T101832Z,stage_1_wetland_relocation,1,0.9718900361080506,0.6173809321787529,0.7946354841434018,0.3545091039292977,3.543118566093763,0.4784463342789568,2.01078245018636,0.8819245259418242,-3.0646722318148063
20260824T101832Z,stage_1_wetland_relocation,10,0.9812384607368537,0.8734613985504724,0.9273499296436631,0.10777706218638128,3.957006518782393,1.9319165254806312,2.944461522131512,0.9500010707799784,-2.0250899933017616
20260824T101832Z,stage_1_wetland_relocation,100,0.9853347845508124,0.6289738023511351,0.8071542934509737,0.35636098219967727,4.20750307250941,0.5278169324296262,2.3676600024695182,0.9143277402767441,-3.6796861400797836
20260824T101832Z,stage_1_wetland_relocation,1000,0.9947975348738356,0.8228486724628341,0.9088231036683349,0.1719488624110015,5.253406657935277,1.5357679855570183,3.3945873217461475,0.9675349468445396,-3.717638672378259
20260824T101832Z,stage_1_wetland_relocation,5000,0.9826286328596022,0.6092965139446862,0.7959625734021443,0.373332118914916,4.035407975059025,0.4443561112180665,2.2398820431385458,0.9037742004948687,-3.591051863840958
20260824T101832Z,stage_1_wetland_relocation,10000,0.9900943749970662,0.7493692068176019,0.8697317909073341,0.24072516817946432,4.604697488964318,1.0952508823305374,2.8499741856474277,0.9453173483920313,-3.50944660663378
20260824T101832Z,stage_1_wetland_relocation,100000,0.9173427159319141,0.5123263045398357,0.7148345102358749,0.40501641139207833,2.4067781865772973,0.04931521023730423,1.2280466984073009,0.7734765179660162,-2.357462976339993
20260824T101832Z,stage_1_wetland_relocation,500000,0.8624326261365806,0.876606411143479,0.8695195186400297,0.014173785006898476,1.8356432423963187,1.9606789456450273,1.898161094020673,0.8696832561761939,0.1250357032487086
20260824T101832Z,stage_1_wetland_relocation,1000000,0.6843410056238987,0.8361565418660158,0.7602487737449573,0.1518155362421172,0.7737938404395892,1.6299043981881152,1.2018491193138523,0.7688535681984604,0.856110557748526
