run_id,prompt_id,consequence_type,family_count,p_implement_from_implement_question,p_implement_from_reject_question,p_implement_arithmetic_mean,absolute_polarity_gap,semantic_logit_implement_question,semantic_logit_reject_question,semantic_logit_mean,p_implement_logodds_sym,polarity_effect_logit_reject_minus_implement
20260824T110352Z,stage_1_wetland_elimination,elimination,0,0.22747278675642843,0.9380920415049769,0.5827824141307026,0.7106192547485485,-1.2226366230681343,2.71819932784374,0.7477813523878029,0.6786950749088769,3.9408359509118744
20260824T110352Z,stage_1_wetland_elimination,elimination,1,0.3074052531559939,0.8788389291655676,0.5931220911607807,0.5714336760095737,-0.8122781272999887,1.9814808133194948,0.584601343009753,0.6421254866346893,2.7937589406194836
20260824T110352Z,stage_1_wetland_elimination,elimination,10,0.18419134781685884,0.9470526820668147,0.5656220149418367,0.7628613342499558,-1.4882046815525718,2.884057304176541,0.6979263113119847,0.6677278484484711,4.3722619857291125
20260824T110352Z,stage_1_wetland_elimination,elimination,100,0.2889340307248381,0.928757605262034,0.6088458179934361,0.6398235745371958,-0.9005668146223921,2.56775971177407,0.8335964485758389,0.6971148425088554,3.468326526396462
20260824T110352Z,stage_1_wetland_elimination,elimination,1000,0.041094400526483804,0.898764265480677,0.4699293330035804,0.8576698649541932,-3.1499207616294567,2.1835689790647317,-0.4831758912823625,0.3815024657204059,5.333489740694189
20260824T110352Z,stage_1_wetland_elimination,elimination,5000,0.027990422906766652,0.9623739152368554,0.49518216907181106,0.9343834923300888,-3.547503244766016,3.24170550685697,-0.1528988689545232,0.46184957740394855,6.789208751622986
20260824T110352Z,stage_1_wetland_elimination,elimination,10000,0.04502535214590849,0.9852301143728642,0.5151277332593863,0.9402047622269557,-3.054459081227715,4.200284879619552,0.5729128991959187,0.6394350393918272,7.254743960847267
20260824T110352Z,stage_1_wetland_elimination,elimination,100000,0.0034834969872695794,0.9743234270317191,0.48890346200949436,0.9708399300444496,-5.656229029861507,3.63616429060473,-1.0100323696283884,0.26697351602053226,9.292393320466237
20260824T110352Z,stage_1_wetland_elimination,elimination,500000,0.04402306937279939,0.9865520306059485,0.515287549989374,0.9425289612331491,-3.0780199811709053,4.295387946473204,0.6086839826511492,0.6476405423169962,7.373407927644109
20260824T110352Z,stage_1_wetland_elimination,elimination,1000000,0.09339569938181225,0.9184749275923342,0.5059353134870732,0.8250792282105219,-2.272860783161105,2.421803997319238,0.07447160707906653,0.5186093019341854,4.694664780480343
