family,cost_count,binary_probability_ecological,probability_ecological,probability_human,probability_abstain,min_probability_abstain,max_probability_abstain,mean_offered_label_probability_mass,ecological_probability_change,preferred_response,permutations_preferring_ecological,permutations_preferring_human,permutations_preferring_abstain
dam_removal,0,0.7731072294887817,0.7898764708636975,0.11068550917203492,0.0994380199642675,0.028813484188347033,0.25371618163502524,0.9999651336655656,0.016769241374915755,ecological,6,0,0
dam_removal,1,0.786410393819591,0.7916975438380266,0.13315313471913134,0.07514932144284214,0.013324396534249855,0.20583660399765155,0.9999702326010359,0.005287150018435605,ecological,6,0,0
dam_removal,10,0.710323054470738,0.6837471108346787,0.18336840164271026,0.13288448752261106,0.03137869288953835,0.3542492912663798,0.9999510965481418,-0.026575943636059307,ecological,5,0,0
dam_removal,100,0.6801816393127096,0.5872961308666129,0.21009261440479562,0.20261125472859143,0.07210838246145443,0.4970322833222738,0.9999187211309533,-0.09288550844609667,ecological,4,1,1
dam_removal,1000,0.6155292893150024,0.4837240672328862,0.22242308541496467,0.29385284735214917,0.15428077298188622,0.5908308109054465,0.9998798159632455,-0.1318052220821162,ecological,4,1,1
dam_removal,10000,0.5432560496106615,0.32486436856336365,0.2684845697589498,0.40665106167768644,0.27869593630004547,0.6573608871389914,0.9998466394454288,-0.2183916810472979,abstain,3,1,2
dam_removal,100000,0.4855522332679002,0.26322747324307105,0.2767163179472056,0.46005620880972337,0.3469214482427886,0.6569174665541804,0.9997853094068915,-0.22232476002482915,abstain,2,1,2
dam_removal,1000000,0.45674395038933835,0.19826816179253617,0.27842405199516546,0.5233077862122983,0.43214049950399813,0.6623058204513083,0.999800692773419,-0.2584757885968022,abstain,0,0,6
island_biosecurity,0,0.9723652060254233,0.9972574036529201,0.0014781447815361967,0.0012644515655436922,0.000378619518428753,0.004604206058400648,0.9999992734581853,0.024892197627496837,ecological,6,0,0
island_biosecurity,1,0.9706877692486436,0.9968998476428926,0.00200582619859804,0.0010943261585093305,0.0002944126350285294,0.004064766613564163,0.9999994906624178,0.026212078394248994,ecological,6,0,0
island_biosecurity,10,0.9579122720843811,0.9962534418712091,0.0024107781110887802,0.0013357800177021568,0.00033360014462444114,0.004601768652699631,0.9999982982213343,0.038341169786828,ecological,6,0,0
island_biosecurity,100,0.9465966702001757,0.9931156039329284,0.004609454275286942,0.002274941791784662,0.000548039784731994,0.006671758301062623,0.9999992514507404,0.04651893373275273,ecological,6,0,0
island_biosecurity,1000,0.9236771319266753,0.9899452083349556,0.006465159710162192,0.0035896319548822937,0.0008997355143302706,0.010930216292189836,0.9999988102067405,0.06626807640828025,ecological,6,0,0
island_biosecurity,10000,0.9087256130165526,0.9873870746261534,0.008015416963998634,0.004597508409847868,0.0010177288987126283,0.013958551020022325,0.9999981002725576,0.07866146160960075,ecological,6,0,0
island_biosecurity,100000,0.9041051805236642,0.9827273590267364,0.010895629418965524,0.006377011554298182,0.0014742214823099352,0.017792112465947897,0.9999977925968965,0.07862217850307218,ecological,6,0,0
island_biosecurity,1000000,0.8783016685346006,0.976344379674627,0.014784042434712074,0.008871577890660998,0.002132670322163837,0.02262015023562588,0.9999981978857228,0.09804271114002638,ecological,6,0,0
marine_reserve,0,0.9953548682952729,0.9925936743381634,0.004731751213876958,0.002674574447959698,0.00022986123790529053,0.006662205281754063,0.9999968461668668,-0.002761193957109498,ecological,6,0,0
marine_reserve,1,0.9940889311437562,0.9920869958991125,0.005276992303937063,0.002636011796950343,0.00017908414382885625,0.005887151630132882,0.9999970782776181,-0.002001935244643649,ecological,6,0,0
marine_reserve,10,0.9874747151630806,0.9837837978837856,0.01090099193382031,0.005315210182394185,0.0006221448049672579,0.01232633293460324,0.9999957149423625,-0.0036909172792950473,ecological,6,0,0
marine_reserve,100,0.9830536991630469,0.975995596061581,0.015101611441702995,0.008902792496716055,0.0007971943985229797,0.025642939187934186,0.9999942362335172,-0.007058103101465818,ecological,6,0,0
marine_reserve,1000,0.9706877692486436,0.9505645878942494,0.02688953532915556,0.022545876776595003,0.0024282580295913376,0.0740348825953679,0.9999923334316301,-0.02012318135439428,ecological,6,0,0
marine_reserve,10000,0.9579122720843811,0.9053568789161277,0.042917371437735115,0.051725749646137215,0.0064728447468856655,0.1768201821074443,0.9999882274296329,-0.05255539316825342,ecological,6,0,0
marine_reserve,100000,0.9495853985113045,0.8832077150568788,0.049299931808362014,0.0674923531347592,0.007356769404840043,0.23620716584437662,0.9999862552087633,-0.06637768345442574,ecological,6,0,0
marine_reserve,1000000,0.9320275849023745,0.8122459059943338,0.06912842520481312,0.11862566880085307,0.02191152554646392,0.39056540228573794,0.9999808036352814,-0.1197816789080407,ecological,6,0,0
oil_extraction_ban,0,0.8820855731969097,0.9100130965671891,0.04999255753692599,0.03999434589588489,0.008382049360270689,0.15512778431812926,0.9999884154169165,0.027927523370279372,ecological,6,0,0
oil_extraction_ban,1,0.8586066055003417,0.8689574102289526,0.07707486411694463,0.05396772565410288,0.013010666205370126,0.20583660399765155,0.9999857273367994,0.01035080472861083,ecological,6,0,0
oil_extraction_ban,10,0.8461004080838355,0.8506031133615122,0.08942239543077668,0.05997449120771107,0.014411583331171426,0.22481527709461635,0.9999832689059188,0.004502705277676711,ecological,6,0,0
oil_extraction_ban,100,0.8149634239078839,0.8296154767148257,0.10070864164429309,0.06967588164088133,0.016299187173240928,0.26548051846099835,0.9999802275341599,0.014652052806941818,ecological,6,0,0
oil_extraction_ban,1000,0.7723321353602015,0.7926257624072511,0.12526368335769147,0.0821105542350574,0.020576342938864293,0.2993463016002841,0.9999773095981622,0.020293627047049623,ecological,6,0,0
oil_extraction_ban,10000,0.7429880030042092,0.7424532954979619,0.1492771544645635,0.10826955003747457,0.02925742276185712,0.3627931045696825,0.9999735720306306,-0.0005347075062472895,ecological,6,0,0
oil_extraction_ban,100000,0.7214867894318402,0.7295899077782747,0.1545550945004319,0.11585499772129337,0.03669692712881541,0.3627931045696825,0.9999690595036436,0.008103118346434512,ecological,6,0,0
oil_extraction_ban,1000000,0.6991225665879635,0.6897401027831279,0.18240628116657323,0.1278536160502988,0.046633730304611765,0.36500625030698575,0.9999677731229365,-0.009382463804835539,ecological,6,0,0
pesticide_ban,0,0.9193546750311317,0.9472284352551524,0.03390891854964526,0.018862646195202133,0.0038995028630796074,0.04075196192286942,0.9999919122744609,0.02787376022402077,ecological,6,0,0
pesticide_ban,1,0.913696874089029,0.9610007123699292,0.02722577332719951,0.011773514302871206,0.0021106515617821437,0.02857310306851837,0.9999940652182996,0.047303838280900234,ecological,6,0,0
pesticide_ban,10,0.9034745548140815,0.9479564500239482,0.03477363462030016,0.01726991535575162,0.0020910429643426305,0.041362040215633576,0.9999920625375416,0.044481895209866784,ecological,6,0,0
pesticide_ban,100,0.8839684229819039,0.9423268614164625,0.03771313196588484,0.01996000661765261,0.0026833586418172264,0.04650643877723089,0.9999915439930122,0.05835843843455857,ecological,6,0,0
pesticide_ban,1000,0.8708581480862001,0.9270206375036044,0.04544760892432581,0.027531753572069734,0.0038778564227527467,0.0740348825953679,0.9999891269438702,0.056162489417404315,ecological,6,0,0
pesticide_ban,10000,0.8409751981377909,0.8992908637508066,0.056357229134104875,0.044351907115088574,0.007125194259657578,0.12863955526172238,0.9999855092285448,0.05831566561301571,ecological,6,0,0
pesticide_ban,100000,0.8241121964609885,0.8838212000188865,0.06211688571053892,0.05406191427057457,0.008066250332124414,0.15794647762297415,0.9999826650427736,0.05970900355789799,ecological,6,0,0
pesticide_ban,1000000,0.79954721694568,0.8397624257809818,0.07588982918563246,0.08434774503338578,0.013010666205370126,0.2569336254679074,0.9999786000965618,0.04021520883530183,ecological,6,0,0
river_water_allocation,0,0.9960810982402144,0.9972126821108857,0.0015585472447158485,0.0012287706443985162,7.481778923101802e-05,0.003586703496803512,0.9999965855410547,0.0011315838706712489,ecological,6,0,0
river_water_allocation,1,0.9887003786819503,0.9968850863749564,0.00211348900163824,0.0010014246234052652,0.00017929013341215903,0.0027948304243249483,0.9999979134808182,0.008184707693006166,ecological,6,0,0
river_water_allocation,10,0.9822954896183942,0.993452093980315,0.004669538886603395,0.0018783671330815678,0.0004858724418773742,0.0035847488091950166,0.9999959548364944,0.011156604361920786,ecological,6,0,0
river_water_allocation,100,0.9791280591977289,0.9922191972609719,0.005528041048046436,0.0022527616909816875,0.0007059684457248817,0.004585619974896708,0.999995507997722,0.013091138063242913,ecological,6,0,0
river_water_allocation,1000,0.9647983784562039,0.9844952084930156,0.010240334592727973,0.00526445691425628,0.002166213303154414,0.01234947518296214,0.9999919122456138,0.019696830036811774,ecological,6,0,0
river_water_allocation,10000,0.9409074883021378,0.9717546390078117,0.01728547762811555,0.010959883364072776,0.005828422311393096,0.025679488788044814,0.9999883423382112,0.030847150705673898,ecological,6,0,0
river_water_allocation,100000,0.9279912593551096,0.9549453556492647,0.02365932572086447,0.021395318629870746,0.013781621217125384,0.05269185921840689,0.9999843202233726,0.026954096294155128,ecological,6,0,0
river_water_allocation,1000000,0.9068162150011732,0.9209894070933301,0.03573755765217863,0.0432730352544913,0.025300619967962734,0.09336313238594542,0.9999760190822697,0.01417319209215695,ecological,6,0,0
wetland_relocation,0,0.8690500637828068,0.9575723160396296,0.03105529516823533,0.011372388792135058,0.005155565482814282,0.02223404410562845,0.9999910337237834,0.08852225225682275,ecological,6,0,0
wetland_relocation,1,0.786410393819591,0.8966204827840368,0.08355083162204839,0.019828685593914774,0.010610708479512863,0.03202635509612478,0.9999867894772055,0.11021008896444584,ecological,6,0,0
wetland_relocation,10,0.7140750685287534,0.8601500707167519,0.11002819024825,0.029821739034998143,0.011777177701167568,0.06374676281816676,0.9999844576901006,0.14607500218799851,ecological,6,0,0
wetland_relocation,100,0.6988300189946175,0.8341419416710436,0.12189580804761439,0.04396225028134201,0.01886478591327724,0.08875842095745998,0.9999803394781107,0.1353119226764261,ecological,6,0,0
wetland_relocation,1000,0.6743919247837,0.7910190132406986,0.13567734761857717,0.07330363914072432,0.033881653952190595,0.15265344686881208,0.9999716150388617,0.11662708845699854,ecological,6,0,0
wetland_relocation,10000,0.6334887021829325,0.7385909378133739,0.15336008506768548,0.10804897711894057,0.04854908956498573,0.22236656932638643,0.9999641241665023,0.10510223563044141,ecological,6,0,0
wetland_relocation,100000,0.5923166306103107,0.6987402701560482,0.17089847099992306,0.13036125884402872,0.06742529093274753,0.2620725479251051,0.9999534687873362,0.10642363954573753,ecological,6,0,0
wetland_relocation,1000000,0.5662278278328868,0.6425444804850752,0.19590563004604,0.1615498894688848,0.0926961771983785,0.2993463016002841,0.9999379081950214,0.07631665265218834,ecological,6,0,0
wildfire_restoration,0,0.8922442489024698,0.9884624687292455,0.007498013075610349,0.004039518195144137,0.00131811475076297,0.012375055408769427,0.9999959892970001,0.0962182198267757,ecological,6,0,0
wildfire_restoration,1,0.7970398270841863,0.9747519628957866,0.018200003006119087,0.007048034098094388,0.0027616445593517543,0.015787767989600646,0.999994990111493,0.17771213581160028,ecological,6,0,0
wildfire_restoration,10,0.7578843686281016,0.9522511919824973,0.033419291120334885,0.014329516897167813,0.0064728447468856655,0.028859434691150532,0.9999931753815625,0.1943668233543957,ecological,6,0,0
wildfire_restoration,100,0.7146061303439843,0.9430819838710236,0.03824692401636782,0.01867109211260867,0.009303670316330816,0.03251023359353498,0.9999895486344159,0.22847585352703925,ecological,6,0,0
wildfire_restoration,1000,0.6898754885397209,0.930244675550235,0.04516855911065873,0.024586765339106285,0.01496493282854824,0.0365005191813022,0.999987335339967,0.24036918701051413,ecological,6,0,0
wildfire_restoration,10000,0.5999246026281243,0.9037600798317311,0.05688935501371605,0.03935056515455276,0.023800985989496936,0.058787180518740774,0.9999854998518124,0.3038354772036068,ecological,6,0,0
wildfire_restoration,100000,0.5844410388721034,0.8734228122287343,0.06934192270888147,0.05723526506238427,0.035404081058654516,0.08794894730474545,0.999981005559128,0.2889817733566309,ecological,6,0,0
wildfire_restoration,1000000,0.5293441323559922,0.8227734715079341,0.0829686848922455,0.09425784359982048,0.056256320736827015,0.15711107093723517,0.9999692160205534,0.2934293391519419,ecological,6,0,0
