epoch,grad_norm,learning_rate,logits/chosen,logits/rejected,logps/chosen,logps/rejected,loss,rewards/accuracies,rewards/chosen,rewards/margins,rewards/rejected,step,epoch_number,examples_in_window
0.16326530612244897,3.3173012733459473,0.0,0.0070542506873607635,0.38582420349121094,-173.45835876464844,-146.91485595703125,0.691,0.5,0.01041340921074152,0.0050237663090229034,0.005389641970396042,1,1,16
0.32653061224489793,3.930086374282837,2.5e-06,-0.23136550188064575,0.1287376582622528,-149.9696502685547,-144.9275665283203,0.6892,0.5625,-9.045645128935575e-05,0.008291434496641159,-0.008381890133023262,2,1,16
0.4897959183673469,3.5923702716827393,5e-06,0.01547762006521225,0.11019781231880188,-174.5472869873047,-134.5538330078125,0.7129,0.375,-0.02972736395895481,-0.03684386983513832,0.0071165068075060844,3,1,16
0.6530612244897959,3.3079018592834473,4.965903258506806e-06,0.05161067843437195,0.2711251378059387,-158.00242614746094,-150.89691162109375,0.6898,0.4375,0.002882719039916992,0.00819783192127943,-0.005315112881362438,4,1,16
0.8163265306122449,3.597493886947632,4.864543104251587e-06,0.013319144025444984,0.4160922169685364,-150.0322265625,-144.45953369140625,0.6762,0.6875,0.03427739441394806,0.03648080676794052,-0.0022034181747585535,5,1,16
0.9795918367346939,3.4605488777160645,4.698684378016223e-06,-0.0032357070595026016,0.2356683909893036,-155.10211181640625,-142.4046630859375,0.6834,0.625,0.021037911996245384,0.020879553630948067,0.0001583578996360302,6,1,16
1.0,8.780627250671387,4.472851273490985e-06,-0.37649425864219666,0.049238771200180054,-186.77972412109375,-150.53204345703125,0.7313,0.0,-0.07797165215015411,-0.07476806640625,-0.0032035838812589645,7,1,2
1.163265306122449,3.276576519012451,4.1932039290643534e-06,-0.1238475888967514,0.04430020600557327,-149.669677734375,-141.78834533691406,0.6836,0.625,0.014281321316957474,0.02124028280377388,-0.006958962418138981,8,2,16
1.3265306122448979,3.678265333175659,3.8673703953060685e-06,-0.032995276153087616,0.12502765655517578,-165.88330078125,-132.72789001464844,0.685,0.625,0.00542078260332346,0.018834494054317474,-0.013413715176284313,9,2,16
1.489795918367347,3.578315019607544,3.5042385616324243e-06,-0.10370032489299774,0.4687802195549011,-162.82247924804688,-149.7504119873047,0.6898,0.5,0.039626218378543854,0.008417842909693718,0.031208371743559837,10,2,16
1.6530612244897958,3.416712999343872,3.1137137178519983e-06,0.046790555119514465,0.20469215512275696,-147.96095275878906,-144.24459838867188,0.6832,0.5,0.028905009850859642,0.02211451716721058,0.0067904950119555,11,2,16
1.816326530612245,3.5465753078460693,2.7064483636808314e-06,-0.007067177444696426,0.36965319514274597,-175.30056762695312,-154.20196533203125,0.6649,0.875,0.05431890860199928,0.05888976901769638,-0.004570865537971258,12,2,16
1.9795918367346939,3.649141311645508,2.2935516363191695e-06,-0.03607195243239403,0.36137986183166504,-156.09075927734375,-139.88302612304688,0.6744,0.6875,0.0534239336848259,0.03860216215252876,0.014821766875684261,13,2,16
2.0,7.95628023147583,1.8862862821480023e-06,0.9947328567504883,0.15903037786483765,-200.09921264648438,-160.3644256591797,0.6803,0.5,0.04007873684167862,0.02652130275964737,0.0135574322193861,14,2,2
2.163265306122449,3.8742311000823975,1.495761438367577e-06,-0.055902112275362015,0.2539982795715332,-180.9022674560547,-133.64382934570312,0.6532,0.875,0.09102372825145721,0.08353137224912643,0.007492351811379194,15,3,16
2.326530612244898,3.0861692428588867,1.1326296046939334e-06,-0.2383524626493454,0.16026368737220764,-143.4635772705078,-138.66458129882812,0.6526,0.875,0.06926731765270233,0.08572635054588318,-0.016459036618471146,16,3,16
2.489795918367347,3.478212833404541,8.067960709356479e-07,-0.04902619868516922,0.13471728563308716,-161.964599609375,-146.6682586669922,0.6639,0.75,0.06916618347167969,0.060991864651441574,0.008174323476850986,17,3,16
2.6530612244897958,3.478040933609009,5.271487265090163e-07,0.457343190908432,0.5394470691680908,-156.87074279785156,-143.76040649414062,0.6672,0.625,0.05667562782764435,0.054590608924627304,0.002085017040371895,18,3,16
2.816326530612245,3.564079761505127,3.0131562198377763e-07,-0.2115992158651352,0.20107826590538025,-142.81863403320312,-147.34324645996094,0.6682,0.625,0.05876302719116211,0.05246381461620331,0.006299210246652365,19,3,16
2.979591836734694,3.310884475708008,1.3545689574841341e-07,0.0056953392922878265,0.23188051581382751,-171.45925903320312,-147.98789978027344,0.6621,0.6875,0.07594766467809677,0.06536130607128143,0.010586358606815338,20,3,16
3.0,8.71511459350586,3.4096741493194196e-08,0.15423084795475006,0.8245602250099182,-183.93765258789062,-197.84619140625,0.6488,1.0,0.05623474344611168,0.09085312485694885,-0.03461838141083717,21,3,2
